2016 103.9
1999 58.2
2020 125.9
1995 64.4
1988 49.7
1954 69.3
2006 61.2
1981 31.0
1998 60.4
2022 118.4
1940 49.3
2000 54.9
1977 33.9
2017 103.0
1991 58.4
2018 103.9
1967 39.6
1972 34.1
1966 40.4
2008 67.6
1973 32.7
1965 43.4
1996 64.2
1963 48.7
1994 63.7
1974 31.3
2021 119.6
1945 114.1
1982 34.0
1953 68.3
1951 73.6
1976 33.6
2009 82.0
1992 61.4
1948 91.8
1944 90.9
1946 119.1
1980 31.8
1984 38.8
2004 60.2
1961 52.0
1993 63.4
1943 70.2
1989 50.8
1986 46.3
2023 118.6
2007 61.8
1949 92.7
1958 58.1
1942 47.7
2001 54.5
1950 85.7
1957 57.4
2011 94.6
1997 62.6
1952 70.5
2005 60.6
2010 89.9
1971 35.0
1975 32.2
